sweep_target,target_type,target_stem,difficulty,evaluated,admissible,admissible_rate,band_low,band_moderate,returned,best_quality,mean_shortlist_quality,verifier_calls,wall_seconds,error
ACE inhibitor,generic,-pril,roomy,67,35,0.522,3,32,10,69.58,65.44,67,31.2,
angiotensin II receptor antagonist,generic,-sartan,roomy,209,37,0.177,4,33,10,67.57,65.2,209,97.47,
vasopressin receptor antagonist,generic,-vaptan,roomy,68,33,0.485,4,29,10,73.15,67.99,68,31.53,
dihydropyridine calcium channel blocker,generic,-dipine,roomy,139,38,0.273,2,36,10,72.83,67.8,139,67.95,
beta-blocker,generic,-olol,crowded,64,40,0.625,6,34,10,71.69,67.63,64,28.01,
proton pump inhibitor,generic,-prazole,crowded,281,42,0.149,6,36,10,67.37,65.3,281,148.33,
local anaesthetic,generic,-caine,crowded,141,29,0.206,1,28,10,68.98,65.34,141,64.7,
HMG-CoA reductase inhibitor,generic,-statin,crowded,269,60,0.223,0,60,10,67.37,65.59,269,114.18,
tetracycline antibacterial,generic,-cycline,crowded,204,38,0.186,3,35,10,68.18,65.15,204,94.58,
tyrosine kinase inhibitor,generic,-tinib,saturated,210,42,0.2,0,42,10,68.98,65.81,210,79.9,
monoclonal antibody,generic,-mab,saturated,63,43,0.683,2,41,10,68.12,66.49,63,17.5,
DPP-4 inhibitor,generic,-gliptin,saturated,274,39,0.142,5,34,10,66.48,61.12,274,110.67,
SGLT2 inhibitor,generic,-gliflozin,saturated,268,33,0.123,22,11,10,59.72,58.25,268,114.12,
PARP inhibitor,generic,-parib,saturated,60,44,0.733,3,41,10,72.45,69.31,60,18.5,
"proprietary mark, cardiovascular",brand,,brand,63,35,0.556,2,33,10,67.03,65.02,63,13.06,
"proprietary mark, oncology",brand,,brand,63,35,0.556,2,33,10,67.03,65.02,63,11.28,
"proprietary mark, CNS / neurology",brand,,brand,63,35,0.556,2,33,10,67.03,65.02,63,13.5,
"proprietary mark, anti-infective",brand,,brand,63,35,0.556,2,33,10,67.03,65.02,63,14.39,
"proprietary mark, respiratory",brand,,brand,63,35,0.556,2,33,10,67.03,65.02,63,13.93,
"proprietary mark, dermatology",brand,,brand,63,35,0.556,2,33,10,67.03,65.02,63,13.98,
