sweep_target,target_type,target_stem,difficulty,evaluated,admissible,admissible_rate,band_low,band_moderate,returned,best_quality,mean_shortlist_quality,verifier_calls,wall_seconds,error
ACE inhibitor,generic,-pril,roomy,65,33,0.508,2,31,10,67.77,65.72,65,23.14,
angiotensin II receptor antagonist,generic,-sartan,roomy,136,35,0.257,2,33,10,68.99,65.51,136,61.43,
vasopressin receptor antagonist,generic,-vaptan,roomy,67,34,0.507,1,33,10,68.99,67.22,67,29.58,
dihydropyridine calcium channel blocker,generic,-dipine,roomy,136,38,0.279,2,36,10,69.0,66.97,136,66.83,
beta-blocker,generic,-olol,crowded,65,34,0.523,1,33,10,70.23,66.35,65,28.91,
proton pump inhibitor,generic,-prazole,crowded,264,54,0.205,2,52,10,67.37,65.33,264,131.06,
local anaesthetic,generic,-caine,crowded,137,25,0.182,1,24,10,69.18,66.87,137,60.16,
HMG-CoA reductase inhibitor,generic,-statin,crowded,268,48,0.179,0,48,10,67.29,63.32,268,129.97,
tetracycline antibacterial,generic,-cycline,crowded,261,58,0.222,8,50,10,67.24,65.82,261,140.36,
tyrosine kinase inhibitor,generic,-tinib,saturated,206,43,0.209,1,42,10,68.83,65.7,206,99.43,
monoclonal antibody,generic,-mab,saturated,55,44,0.8,1,43,10,69.52,66.67,55,23.11,
DPP-4 inhibitor,generic,-gliptin,saturated,266,42,0.158,10,32,10,66.51,61.95,266,134.46,
SGLT2 inhibitor,generic,-gliflozin,saturated,261,27,0.103,21,6,10,61.14,58.27,261,158.29,
PARP inhibitor,generic,-parib,saturated,64,35,0.547,1,34,10,68.98,68.02,64,26.37,
"proprietary mark, cardiovascular",brand,,brand,66,30,0.455,0,30,10,65.13,63.43,66,19.41,
"proprietary mark, oncology",brand,,brand,66,30,0.455,0,30,10,65.13,63.43,66,19.11,
"proprietary mark, CNS / neurology",brand,,brand,66,30,0.455,0,30,10,65.13,63.43,66,19.89,
"proprietary mark, anti-infective",brand,,brand,66,30,0.455,0,30,10,65.13,63.43,66,18.62,
"proprietary mark, respiratory",brand,,brand,66,30,0.455,0,30,10,65.13,63.43,66,20.06,
"proprietary mark, dermatology",brand,,brand,66,30,0.455,0,30,10,65.13,63.43,66,19.98,
