candidate_name,accepted,proposer,round,quality_total,composite_risk_score,risk_band,margin_to_review,margin_to_reject,nearest_match,pronounceability,syllables,failure_codes,warning_codes,refined_from,lineage,q_distinctiveness,q_novelty,q_pronounceability,q_seam,q_morpheme_hygiene,q_shape,q_typicality,sweep_target,target_type,target_stem,difficulty,in_shortlist,q_stem_avoidance,q_memorability
epepril,True,grammar,1,64.45,66.33,moderate,-11.33,3.67,zipeprol,0.6572,3,,SIMILARITY_MODERATE,,epepril,0.0,1.0,0.899,1.0,1.0,0.685,0.001,ACE inhibitor,generic,-pril,roomy,True,,
clohonipril,True,grammar,1,60.93,58.78,moderate,-3.78,11.22,cyclomydril,0.7172,4,,SIMILARITY_MODERATE,,clohonipril,0.0,0.771,0.779,1.0,1.0,0.952,0.011,ACE inhibitor,generic,-pril,roomy,False,,
gasaldupril,True,grammar,1,64.52,52.94,low,2.06,17.06,gabitril,0.6295,4,,,,gasaldupril,0.082,0.771,0.9,1.0,1.0,0.952,0.0,ACE inhibitor,generic,-pril,roomy,True,,
itepril,True,grammar,1,64.44,68.79,moderate,-13.79,1.21,temaril,0.616,3,,SIMILARITY_MODERATE,,itepril,0.0,1.0,0.899,1.0,1.0,0.685,0.0,ACE inhibitor,generic,-pril,roomy,False,,
udapril,False,grammar,1,64.44,71.12,high,-16.12,-1.12,capryl,0.605,3,SIMILARITY_TOO_HIGH,,,udapril,0.0,1.0,0.899,1.0,1.0,0.685,0.0,ACE inhibitor,generic,-pril,roomy,False,,
udipril,False,grammar,1,64.44,74.44,high,-19.44,-4.44,uniprim,0.6105,3,SIMILARITY_TOO_HIGH|TRADEMARK_HIT,,,udipril,0.0,1.0,0.899,1.0,1.0,0.685,0.0,ACE inhibitor,generic,-pril,roomy,False,,
griozlapril,True,grammar,1,65.08,58.01,moderate,-3.01,11.99,trandolaprilat,0.6013,4,,SIMILARITY_MODERATE,,griozlapril,0.0,1.0,0.754,1.0,1.0,0.952,0.0,ACE inhibitor,generic,-pril,roomy,True,,
elapril,False,grammar,1,70.75,73.05,high,-18.05,-3.05,elaprase,0.6873,3,SIMILARITY_TOO_HIGH|INTRA_STEM_TOO_CLOSE|TRADEMARK_HIT,,,elapril,0.0,1.0,0.899,1.0,1.0,0.685,0.902,ACE inhibitor,generic,-pril,roomy,False,,
ciobemepril,True,grammar,1,57.65,59.87,moderate,-4.87,10.13,iomeprol,0.6289,5,,SIMILARITY_MODERATE,,ciobemepril,0.0,0.564,0.94,1.0,1.0,0.821,0.0,ACE inhibitor,generic,-pril,roomy,False,,
adapril,False,grammar,1,64.65,78.93,high,-23.93,-8.93,addaprin,0.6967,3,SIMILARITY_TOO_HIGH|TRADEMARK_HIT,,,adapril,0.0,1.0,0.899,1.0,1.0,0.685,0.03,ACE inhibitor,generic,-pril,roomy,False,,
rofomopril,False,grammar,1,62.65,64.99,moderate,-9.99,5.01,brodimoprim,0.6603,4,INTRA_STEM_TOO_CLOSE,SIMILARITY_MODERATE,,rofomopril,0.0,0.733,0.924,1.0,1.0,0.998,0.01,ACE inhibitor,generic,-pril,roomy,False,,
