generic_name_raw,brand_name_raw,product_type,route,source
Zinc Oxide,tinted face and body mineral sunscreen SPF40,HUMAN OTC DRUG,TOPICAL,snapshot
"Homosalate, Octocryene, Octisalate, Qctinoxate, Avobenzone",Poolside Sun Silk Body Cream SUNGLOW 05 FRAGRANCE Sunscreen SPF 30 body cream,HUMAN OTC DRUG,TOPICAL,snapshot
Naphazoline HCL 0.05% ORIGINAL NASAL,SKAPEMED ORIGINAL NASAL,HUMAN OTC DRUG,NASAL,snapshot
"Titanium Dioxide, Zinc Oxide",Matte Shield SPF,HUMAN OTC DRUG,TOPICAL,snapshot
Pyrithione zinc,ANTI DANDRUFF SHAMPOO473ml,HUMAN OTC DRUG,TOPICAL,snapshot
Diclofenac Sodium,Diclofenac Sodium,HUMAN PRESCRIPTION DRUG,TOPICAL,snapshot
Salicylic Acid,Goodnites Wart Removal Gel,HUMAN OTC DRUG,TOPICAL,snapshot
"Titanium Dioxide, Zinc Oxide",Daily Shade Matte Tinted,HUMAN OTC DRUG,TOPICAL,snapshot
Amoxicillin and Clavulanate Potassium,Amoxicillin and Clavulanate Potassium,HUMAN PRESCRIPTION DRUG,ORAL,snapshot
Natrum Phosphoricum,BM Nat Phos,HUMAN OTC DRUG,ORAL,snapshot
Cetirizine hydrochloride,Allergy Relief,HUMAN OTC DRUG,ORAL,snapshot
Alcohol,Hand Sanitizer plus Serum Caela,HUMAN OTC DRUG,TOPICAL,snapshot
Ropinirole,Ropinirole,HUMAN PRESCRIPTION DRUG,ORAL,snapshot
Zinc Oxide 24%,ONSART Mineral Sunscreen,HUMAN OTC DRUG,TOPICAL,snapshot
epoetin alfa-epbx,RETACRIT,HUMAN PRESCRIPTION DRUG,INTRAVENOUS,snapshot
phenobarbital,Phenobarbital,HUMAN PRESCRIPTION DRUG,ORAL,snapshot
salicylic acid 1% MILIA REMOVER ESSENCE,SPESOLSKII MILIA REMOVER ESSENCE,HUMAN OTC DRUG,TOPICAL,snapshot
Colloidal Oatmeal,Crogooe Skin Relief Cream,HUMAN OTC DRUG,CUTANEOUS,snapshot
Hydrocortisone,,BULK INGREDIENT,,snapshot
"ibuprofen, diphenhydramine citrate",,DRUG FOR FURTHER PROCESSING,,snapshot
Insulin Detemir,,BULK INGREDIENT,,snapshot
Titanium Dioxide,bareMinerals ORIGINAL Liquid Mineral Foundation Broad Spectrum SPF 20 Sunscreen FAIRLY MEDIUM 05,HUMAN OTC DRUG,TOPICAL,snapshot
Potassium Nitrate,,BULK INGREDIENT,,snapshot
Choline Chloride,,BULK INGREDIENT,,snapshot
Ferrous Fumarate,,DRUG FOR FURTHER PROCESSING,,snapshot
"Acetaminophen, Dextromethorphan hydrobromide, Doxylamine hydrogen succinate",,DRUG FOR FURTHER PROCESSING,,snapshot
FEXOFENADINE HYDROCHLORIDE,,DRUG FOR FURTHER PROCESSING,,snapshot
methotrexate,,BULK INGREDIENT,,snapshot
QUETIAPINE FUMARATE,,BULK INGREDIENT,,snapshot
Apremilast,,BULK INGREDIENT,,snapshot
Metoprolol Tartrate,,BULK INGREDIENT,,snapshot
LAMOTRIGINE,,BULK INGREDIENT,,snapshot
Pioglitazone Hydrochloride,,BULK INGREDIENT,,snapshot
Baricitinib,,BULK INGREDIENT,,snapshot
CALCIUM POLYCARBOPHIL,,BULK INGREDIENT,,snapshot
Fluoxetine HCl,,BULK INGREDIENT,,snapshot
Miconazole Nitrate,,BULK INGREDIENT,,snapshot
Testosterone Isocaproate,,BULK INGREDIENT,,snapshot
Sulfasalazine,,BULK INGREDIENT,,snapshot
Naltrexone Hydrochloride(Nitrogen Flush),,BULK INGREDIENT,,snapshot
calcium folinate,LEDERLE LEUCOVORIN,HUMAN PRESCRIPTION DRUG,ORAL,snapshot
Potassium chloride,,BULK INGREDIENT,,snapshot
Lidocaine Hydrochloride,First Aid Only Burn,HUMAN OTC DRUG,TOPICAL,snapshot
TAR-200,,DRUG FOR FURTHER PROCESSING,,snapshot
"sodium chloride, sodium lactate, calcium chloride, magnesium chloride and dextrose",DIANEAL LOW CALCIUM WITH DEXTROSE,HUMAN PRESCRIPTION DRUG,INTRAPERITONEAL,snapshot
Anticoagulant Citrate Phosphate Dextrose Adenine,CPDA-1,HUMAN PRESCRIPTION DRUG,INTRAVENOUS,snapshot
Adapalene,,BULK INGREDIENT,,snapshot
Fluorometholone,,BULK INGREDIENT,,snapshot
Ertugliflozin L-Pyroglutamic Acid,,BULK INGREDIENT,,snapshot
dexmethylphenidate hydrochloride,,DRUG FOR FURTHER PROCESSING,,snapshot
voriconazole,,BULK INGREDIENT,,snapshot
"HOMOSALATE, OCTOCRYLENE, OCTISALATE, AVOBENZONE",Carmex Daily Care Moisturizing Lip SPF 15 Assorted,HUMAN OTC DRUG,,snapshot
Fenofibrate micronized,,BULK INGREDIENT,,snapshot
LEUCOVORIN CALCIUM,,BULK INGREDIENT,,snapshot
CLOMIPRAMINE,,BULK INGREDIENT,,snapshot
Sodium citrate,,BULK INGREDIENT,,snapshot
Doxycycline Hyclate,,BULK INGREDIENT,,snapshot
Tranexamic Acid,,BULK INGREDIENT,,snapshot
Octreotide,,BULK INGREDIENT,,snapshot
bortezomib,,BULK INGREDIENT,,snapshot
Beclomethasone Dipropionate Anhydrous Micronized W.S,,BULK INGREDIENT,,snapshot
diclofenac sodium,,DRUG FOR FURTHER PROCESSING,,snapshot
DAPAGLIFLOZIN PROPANEDIOL,,BULK INGREDIENT,,snapshot
Omeprazole Magnesium,,BULK INGREDIENT,,snapshot
PANCURONIUM BROMIDE,,BULK INGREDIENT,,snapshot
Processed nerve allograft,,DRUG FOR FURTHER PROCESSING,,snapshot
"Enterococcus Faecalis, Pneumococcinum, Streptococcus Viridans",,DRUG FOR FURTHER PROCESSING,,snapshot
"Eucalyptol, menthol, methyl salicylate, thymol",Antispetic,HUMAN OTC DRUG,ORAL,snapshot
"OCTINOXATE, OXYBENZONE",Carmex Daily Care Moisturizing Lip Balm SPF 15 Assorted,HUMAN OTC DRUG,,snapshot
Eletriptan Hydrobromide,,BULK INGREDIENT,,snapshot
Iron Sucrose,,BULK INGREDIENT,,snapshot
Balsalazide Disodium Dihydrate,,BULK INGREDIENT,,snapshot
Sulfur,Naturasil Tinea Versicolor,HUMAN OTC DRUG,TOPICAL,snapshot
Nitrogen,Nitrogen,HUMAN PRESCRIPTION DRUG,RESPIRATORY (INHALATION),snapshot
Aluminum Zirconium Tetrachlorohydrex Gly liquid,Mitchum Smart Solid,HUMAN OTC DRUG,TOPICAL,snapshot
Docusate Sodium,,DRUG FOR FURTHER PROCESSING,,snapshot
Glipizide,,BULK INGREDIENT,,snapshot
PAROXETINE HYDROCHLORIDE HEMIHYDRATE,,BULK INGREDIENT,,snapshot
Chlorothiazide,,BULK INGREDIENT,,snapshot
Atropine sulfate,,BULK INGREDIENT,,snapshot
OCTOCRYLENE,,BULK INGREDIENT,,snapshot
nicotine polacrilex,,DRUG FOR FURTHER PROCESSING,,snapshot
THALIDOMIDE,,BULK INGREDIENT,,snapshot
lorazepam,,BULK INGREDIENT,,snapshot
Schoenocaulon officinalis,,DRUG FOR FURTHER PROCESSING,,snapshot
ROFLUMILAST,,BULK INGREDIENT,,snapshot
olanzapine and samidorphan l-malate,,DRUG FOR FURTHER PROCESSING,,snapshot
Atomoxetine,,DRUG FOR FURTHER PROCESSING,,snapshot
Moxifloxacin Hydrochloride,,DRUG FOR FURTHER PROCESSING,,snapshot
Pemetrexed,,BULK INGREDIENT,,snapshot
Trientine Hydrochloride,,BULK INGREDIENT,,snapshot
Lenvatinib Mesylate,,BULK INGREDIENT,,snapshot
Desmopressin Acetate,,BULK INGREDIENT,,snapshot
ARIPIPRAZOLE,,BULK INGREDIENT,,snapshot
Mineral Oil,,BULK INGREDIENT,,snapshot
Mometasone Furoate,,BULK INGREDIENT,,snapshot
Dolutegravir,,BULK INGREDIENT,,snapshot
Fosfomycin Tromethamine,,BULK INGREDIENT,,snapshot
Sacubutrile and Valsartan (Amorphous),,BULK INGREDIENT,,snapshot
Zinc Oxide,,DRUG FOR FURTHER PROCESSING,,snapshot
Nitazoxanide,,BULK INGREDIENT,,snapshot
Durlobactam Sodium,,BULK INGREDIENT,,snapshot
Felbamate,,BULK INGREDIENT,,snapshot
Pramlintide,,BULK INGREDIENT,,snapshot
Penicillamine,,BULK INGREDIENT,,snapshot
Chlordiazepoxide,,BULK INGREDIENT,,snapshot
Mexiletine hydrochloride,,BULK INGREDIENT,,snapshot
PALBOCICLIB,,BULK INGREDIENT,,snapshot
PRASTERONE,,DRUG FOR FURTHER PROCESSING,,snapshot
"Amlodipine, valsartan and hydrochlorothiazide",,DRUG FOR FURTHER PROCESSING,,snapshot
PREDNISOLONE ACETATE,,BULK INGREDIENT,,snapshot
ADENOSINUM CICLOPHOSPHORICUM - MELATONIN - PHOSPHORUS - SUS SCROFA ADRENAL GLAND - SUS SCROFA HYPOTHALAMUS - SUS SCROFA PANCREAS - SUS SCROFA PINEAL GLAND - SUS SCROFA PITUITARY GLAND - SUS SCROFA TESTICLE - SUS SCROFA THYMUS - THYROID - TURNERA DIFFUSA TOP -,GUNA-MALE,HUMAN OTC DRUG,ORAL,snapshot
Sodium Polystyrene Sulfonate,Sodium Polystyrene Sulfonate,HUMAN PRESCRIPTION DRUG,ORAL,snapshot
Antacid Tablets,Extra Strength,HUMAN OTC DRUG,ORAL,snapshot
miconazole nitrate,signature care miconazole 7,HUMAN OTC DRUG,VAGINAL,snapshot
"Glycerin, Hypromellose, Polyethylene glycol 400",Rite Aid Eye Drops Dry Eye Relief,HUMAN OTC DRUG,OPHTHALMIC,snapshot
Lidocaine HCL,Rite Aid Pain Relieving Roll-On,HUMAN OTC DRUG,TOPICAL,snapshot
oxymetazoline hydrochloride,Up and up nasal,HUMAN OTC DRUG,NASAL,snapshot
gentle hemorrhoidal care,up and up medicated wipes manixim strength,HUMAN OTC DRUG,TOPICAL,snapshot
Metformin Hydrochloride Extended-Release Tablets,Metformin Hydrochloride,HUMAN PRESCRIPTION DRUG,ORAL,snapshot
Anti Itch,Hydrocortisone,HUMAN OTC DRUG,TOPICAL,snapshot
