generic_name_raw,brand_name_raw,product_type,route,source
fluocinolone acetonide,Flac Otic Oil,HUMAN PRESCRIPTION DRUG,AURICULAR (OTIC),openFDA:ndc
calcium carbonate,Tums Chewy Bites,HUMAN OTC DRUG,ORAL,openFDA:ndc
cetylpyridinium chloride,Parodontax Active Gum Health Mint,HUMAN OTC DRUG,ORAL,openFDA:ndc
Sapropterin Dihydrochloride,JAVYGTOR,HUMAN PRESCRIPTION DRUG,ORAL,openFDA:ndc
lamotrigine,LAMICTAL,HUMAN PRESCRIPTION DRUG,ORAL,openFDA:ndc
choriogonadotropin alfa,Ovidrel,HUMAN PRESCRIPTION DRUG,SUBCUTANEOUS,openFDA:ndc
"American Cheese, Blue Cheese, Brie Cheese, Cheddar Cheese, Cottage Cheese, Goat Milk, Lac Vaccinum, Swiss Cheese, Calcarea Carbonica, Sepia, Sulphur",Dairy Antigens,HUMAN OTC DRUG,ORAL,openFDA:ndc
lamotrigine,LAMICTAL XR,HUMAN PRESCRIPTION DRUG,,openFDA:ndc
"Germanium Sesquioxide, Cuprum Metallicum, Manganum Metallicum, Intestine (Suis), Lung (Suis), Cysteinum, Manganese Gluconate, alpha-Ketoglutaricum Acidum, Arsenicum Album, Calcarea Carbonica, Fumaricum Acidum, Natrum Oxalaceticum, Phosphorus",Diathesis II,HUMAN OTC DRUG,ORAL,openFDA:ndc
"Apis Mellifica, Culex Musca, Hypericum Perforatum, Ledum Palustre, Pediculus Capitis, Cimex Lectularius, Formica Rufa, Pulex Irritans, Vespa Crabro",Biting Insect Antigens,HUMAN OTC DRUG,ORAL,openFDA:ndc
"CAMPHOR, MENTHOL, METHYL SALICYLATE",Large Medicate Relief Patches,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
"Acetaminophen, Dextromethorphan Hydrobromide, Guaifenesin, Phenylephrine Hydrochloride",Medi-First Cough Cold,HUMAN OTC DRUG,ORAL,openFDA:ndc
Calcium Carbonate,Calcium Antacid,HUMAN OTC DRUG,ORAL,openFDA:ndc
Plumbum 30,Plumbum 30,HUMAN OTC DRUG,ORAL,openFDA:ndc
Ethyl alcohol,Ethyl alcohol,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
BARIUM CARBONATE,Baryta carbonica,HUMAN OTC DRUG,ORAL,openFDA:ndc
SODIUM BORATE,Borax,HUMAN OTC DRUG,ORAL,openFDA:ndc
Nitrofurantoin (monohydrate/macrocrystals),NITROFURANTOIN,HUMAN PRESCRIPTION DRUG,ORAL,openFDA:ndc
atropine sulfate,ATROPINE,HUMAN PRESCRIPTION DRUG,OPHTHALMIC,openFDA:ndc
Lidocaine 5%,Lidocaine 5%,HUMAN PRESCRIPTION DRUG,TOPICAL,openFDA:ndc
Miconazole Nitrate,miconazole nitrate,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
Corn and Callus Remover,Salicylic Acid,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
Articaine Hydrochloride and Epinephrine,Articaine Hydrochloride and Epinephrine,HUMAN PRESCRIPTION DRUG,SUBMUCOSAL,openFDA:ndc
Methylcellulose,CVS Fiber Therapy,HUMAN OTC DRUG,ORAL,openFDA:ndc
"Acetaminophen, Dextromethorphan HBr and Acetaminophen, Dextromethorphan HBr, Doxylamine succinate",Daytime and Nighttime High Blood Pressure Cold and Flu Liquid,HUMAN OTC DRUG,ORAL,openFDA:ndc
Ethyl Alcohol,AshleyBelle Moisturizing Hand Sanitizer Coconut Lime,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
HEKLA LAVA,Hekla lava,HUMAN OTC DRUG,ORAL,openFDA:ndc
CALCIUM SULFIDE,Hepar sulphuris calcareum,HUMAN OTC DRUG,ORAL,openFDA:ndc
GOLDENSEAL,Hydrastis canadensis,HUMAN OTC DRUG,ORAL,openFDA:ndc
Malathion,Ovide,HUMAN PRESCRIPTION DRUG,TOPICAL,openFDA:ndc
"Butalbital, Aspirin, Caffeine and Codeine Phosphate",Ascomp with Codeine,HUMAN PRESCRIPTION DRUG,ORAL,openFDA:ndc
White Petroleum,Health Smart Aloe Vera Petroleum,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
"Avobenzone, Homosalate, Octisalate, Octocrylene",AVON BEYOND GLOW SUN MOISTURIZER,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
Carbo betulae 6X,Carbo Betulae 6X,HUMAN OTC DRUG,ORAL,openFDA:ndc
"octocrylene, octinoxate, octisalate, titanium dioxide, ensulizole",EXEL CLARIFYING LINE DAILY FLUID SUN SHIELD WALNUT BROWN COLOR BROAD SPECTRUM SPF 60 PLUS,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
MENTHOL,RICOLA MAX NASAL CARE COOL MENTHOL,HUMAN OTC DRUG,ORAL,openFDA:ndc
Benzalkonium Chloride,enMotion Antimicrobial Foam with Moisturizers Tranquil Aloe,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
alcohol,Smart Care Hand Sanitizer Ocean,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
Oxygen/Nitrogen 21/79,Oxygen/Nitrogen 21/79,HUMAN PRESCRIPTION DRUG,RESPIRATORY (INHALATION),openFDA:ndc
"SODIUM CHLORIDE, OYSTER SHELL CALCIUM CARBONATE, CRUDE, SEPIA OFFICINALIS JUICE, IODINE, LYCOPODIUM CLAVATUM WHOLE, and BOS TAURUS PITUITARY GLAND, POSTERIOR",N-10,HUMAN OTC DRUG,SUBLINGUAL,openFDA:ndc
"AVOBENZONE, HOMOSALATE, OCTISALATE, and OCTOCRYLENE",SHISEIDO URBAN ENVIRONMENT VITA-CLEAR SUNSCREEN,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
Haemophilus b Conjugate Vaccine (Tetanus Toxoid Conjugate),Hiberix,VACCINE,,openFDA:ndc
paroxetine hydrochloride,PAROXETINE,HUMAN PRESCRIPTION DRUG,ORAL,openFDA:ndc
PILOCARPUS JABORANDII LEAF,Pilocarpus,HUMAN OTC DRUG,ORAL,openFDA:ndc
PODOPHYLLUM,Podophyllum peltatum,HUMAN OTC DRUG,ORAL,openFDA:ndc
Bryonia,Bryonia,HUMAN OTC DRUG,ORAL,openFDA:ndc
"MENTHOL, UNSPECIFIED FORM and METHYL SALICYLATE",DGH GREASELESS MUSCLE RUB ANALGESIC,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
"SODIUM BICARBONATE, SODIUM CHLORIDE",Rexall Sinus Wash System Soft Tip Squeeze bottle,HUMAN OTC DRUG,NASAL,openFDA:ndc
Salicylic Acid,Premier Solutions Liquid Corn and Callus Remover,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
"Acetaminophen, Aspirin and Caffeine","Acetaminophen, Aspirin and Caffeine",HUMAN OTC DRUG,ORAL,openFDA:ndc
TITANIUM DIOXIDE and ZINC OXIDE,DAILY LIGHT GUARD DEFENSE FLUID BROAD SPECTRUM SPF 30,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
"ANTIMONY TRISULFIDE, NITRIC ACID, THUJA OCCIDENTALIS LEAFY TWIG,",WartCalm,HUMAN OTC DRUG,ORAL,openFDA:ndc
"ATROPA BELLADONNA, SANGUINARIA CANADENSIS ROOT, SPIGELIA ANTHELMIA WHOLE",SinusCalm,HUMAN OTC DRUG,ORAL,openFDA:ndc
MENTHOL,Relief Pain Relieving Cream,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
"VITAMIN A, ASCORBIC ACID, CHOLECALCIFEROL, ALPHA-TOCOPHEROL ACETATE, THIAMINE HYDROCHLORIDE, RIBOFLAVIN 5-PHOSPHATE SODIUM, NIACINAMIDE, PYRIDOXINE HYDROCHLORIDE, Ferrous sulfate and SODIUM FLUORIDE",Multi-Vitamin Drops with Fluoride and Iron,HUMAN PRESCRIPTION DRUG,ORAL,openFDA:ndc
"Acetaminophen, Diphenhydramine HCl",Vicks NyQuil HOT REMEDY Cold and Flu,HUMAN OTC DRUG,ORAL,openFDA:ndc
LIDOCAINE HCL - HYDROCORTISONE ACETATE,Lidocort,HUMAN PRESCRIPTION DRUG,"RECTAL, TOPICAL",openFDA:ndc
Copper,ParaGard T 380A,HUMAN PRESCRIPTION DRUG,INTRAUTERINE,openFDA:ndc
idecabtagene vicleucel,Abecma,CELLULAR THERAPY,INTRAVENOUS,openFDA:ndc
Corn and Callus Remover Kit,Salicylic Acid,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
Chloroxylenol,Soften Sure Foam Antimicrobial,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
Alcohol,Anti Bacterial Hand Gel Sea and Sandstone,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
BENZOCAINE,Hug a BooBoo Medicated booboo Wipes,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
"Avobenzone,Octisalate,Octocrylene",No7 Lift and Luminate Triple Action Day Cream SPF 30,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
"Methyl Salicylate, Menthol",La Vaquita New Extra,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
"OCTISALATE, TITANIUM DIOXIDE",Dior Forever Skin Glow Flawless Radiant Skin True Foundation SPF 25 00 Neutral,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
Iodine and Sodium Iodide and Alcohol,Health Mart Iodine Tincture Mild,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
Candida albicans,Can Albex 500X,HUMAN OTC DRUG,SUBLINGUAL,openFDA:ndc
"Avobenzone, Octisalate and Octocrylene",Daily Prevention Protect and Refresh Mist SPF 40,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
Alcohol,Laura Lynn Moisturizing Advanced Gel Hand Sanitizer,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
RET Bladder,RET Bladder 7006,HUMAN OTC DRUG,ORAL,openFDA:ndc
Thoracic Spinal Cord Drops,Thoracic Spinal Cord Drops 9646,HUMAN OTC DRUG,ORAL,openFDA:ndc
Sweetgum,LIQUIDAMBAR STYRACIFLUA POLLEN,NON-STANDARDIZED ALLERGENIC,PERCUTANEOUS,openFDA:ndc
URTICA DIOICA POLLEN,NETTLE,NON-STANDARDIZED ALLERGENIC,SUBCUTANEOUS,openFDA:ndc
dextrose monohydrate,DEXTROSE,HUMAN PRESCRIPTION DRUG,INTRAVENOUS,openFDA:ndc
zinc oxide,Blue Lizard Sensitive SPF 50,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
penicillin G potassium,Pfizerpen,HUMAN PRESCRIPTION DRUG,INTRAVENOUS,openFDA:ndc
DIPHENHYDRAMINE HYDROCHLORIDE,M-Dryl,HUMAN OTC DRUG,ORAL,openFDA:ndc
Terazosin Hydrochloride,TERAZOSIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,ORAL,openFDA:ndc
MENTHOL,SUGAR FREE SWISS CHERRY HERB THROAT DROPS,HUMAN OTC DRUG,ORAL,openFDA:ndc
Camphor 10.8% and Phenol 4.7%,Instant Antiseptic Pain Relief,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
"loratadine, pseudoephedrine sulfate",kirkland signature allerclear d 24 hr,HUMAN OTC DRUG,ORAL,openFDA:ndc
Liver Assit,LV-FX,HUMAN OTC DRUG,ORAL,openFDA:ndc
Teens Blue Raspberry 48h Antiperspirant,Dove,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
"Acetaminophen, Phenylephrine HCl",Nasal Decongestant PE and Pain Relief Maximum Strength,HUMAN OTC DRUG,ORAL,openFDA:ndc
"Octinoxate, Octocrylene, Titanium Dioxide",AGE20S SIGNATURE ESSENCE PACT INTENSE COVER 21N PACK OF 2,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
Cetirizine,Cetirizine Hydrochloride,HUMAN PRESCRIPTION DRUG,ORAL,openFDA:ndc
Chloroxylenol,Antibacterial Lotions Skin Cleanser,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
"Adrenal Gland, Adrenocorticotrophin, Cerebrum, Liver Gland, Pituitarum Posterium Gland, Placenta, Thyroidinum.",OHM Pituitarum Complex,HUMAN PRESCRIPTION DRUG,ORAL,openFDA:ndc
Chloroxylenol,PRIME SOURCE Antimicrobial Foam So ap,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
Oxymetazoline Hydrochloride,Afrin Original,HUMAN OTC DRUG,NASAL,openFDA:ndc
Benzalkonium Chloride,PRO-LINK Antibacterial Plum Perfection Foam So ap,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
Menthol,Gold Bond Medicated Original Strength Body,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
testosterone undecanoate,Aveed,HUMAN PRESCRIPTION DRUG,INTRAMUSCULAR,openFDA:ndc
"Acetaminophen, Dextromethorphan HBr, Guaifenesin, Phenylephrine HCl",Mucus Relief Maximum StrengthCold Flu and Sore Throat,HUMAN OTC DRUG,ORAL,openFDA:ndc
SALICYLIC ACID,WALGREENS ALL PURPOSE PSORIASIS WASH,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
Cefadroxil,Cefadroxil,HUMAN PRESCRIPTION DRUG,ORAL,openFDA:ndc
Sodium Chloride,Walgreens Sodium Chloride Ophthalmic 5 Percent Hypertonicity Eye,HUMAN OTC DRUG,OPHTHALMIC,openFDA:ndc
TITANIUM DIOXIDE AND ZINC OXIDE,Bye Bye Foundation Full Coverage Moisturizer SPF 50 Medium Tan,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
Metformin ER 500 mg,Metformin,HUMAN PRESCRIPTION DRUG,ORAL,openFDA:ndc
"AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE",Sun Bum 30 Premium Mosturizing Sunscreen 6 OZ,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
SENNOSIDES,Walgreens Senna Laxative,HUMAN OTC DRUG,ORAL,openFDA:ndc
Tetracycline Hydrochloride,Tetracycline Hydrochloride,HUMAN PRESCRIPTION DRUG,ORAL,openFDA:ndc
Benzethonium chloride Dyclonine hydrochloride,Leader Liquid Bandage,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
Sodium Fluoride,ARU CAVITY PROTECTION,HUMAN OTC DRUG,DENTAL,openFDA:ndc
Colloidal Oatmeal,First Aid Beauty FAB Ultra Repair Intense Hydration Skin Protectant Cranberry Pomegranate,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
Diphenhydramine Hydrochloride and Acetaminophen,Vicks ZzzQuil Night Pain,HUMAN OTC DRUG,ORAL,openFDA:ndc
IBUPROFEN AND DIPHENHYDRAMINE HCL,pain relief pm,HUMAN OTC DRUG,ORAL,openFDA:ndc
"Azadirachta indica, Calendula, Echinacea purpurea, Plantago major",StellaLife VEGA Oral Care Spearmint Advanced Healing Formula,HUMAN OTC DRUG,ORAL,openFDA:ndc
"Calc Sulph, Gentiana amarella flos, Kali Phos, Nat Mur, Nat Phos, Nat Sulph, Olea europea flos, Phos Acid, Ulex europaeus flos",energy and motivation,HUMAN OTC DRUG,ORAL,openFDA:ndc
"Neomycin Sulfate, Polymyxin B Sulfate, and Pramoxine Hydrochloride",Neosporin Plus Pain Relief First Aid Antibiotic/Pain Relieving,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
"Avobenzone, Homosalate, Octisalate, Octocrylene",Neutrogena Beach Defense Kids Sunscreen SPF 60 Plus,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
Lidocaine HCl,CVS Lidocaine Maximum Strength,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
"Adrenalinum, Allium Cepa, Ambrosia Artemisiaefolia, Echinacea (Angustifolia), Gelsemium Sempervirens, Kali Iodatum, Sanguinaria Canadensis, Sticta Pulmonaria",Allergy Nasal,HUMAN OTC DRUG,ORAL,openFDA:ndc
zinc oxide,BLDG Active Skin Repair Sun Stick Performance Sunscreen,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
"Moxifloxacin Hydrochloride Tablets, 400 mg","Moxifloxacin Hydrochloride Tablets, 400 mg",HUMAN PRESCRIPTION DRUG,ORAL,openFDA:ndc
Terazosin,Terazosin,HUMAN PRESCRIPTION DRUG,ORAL,openFDA:ndc
Acetaminophen,foster and thrive childrens pain and fever,HUMAN OTC DRUG,ORAL,openFDA:ndc
"Mineral Oil 59.8%,Petrolatum 36%",Dr. Butler Hemorrhoid and Perineal,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
"Calc carb, Carbo veg, Chelidonium maj, CoQ10, Fucus, Graphites, Homeopathic glycoprotein complex, Hypothalamus, Kali phos, Lycopodium, Mag phos, Nat mur, Nat phos, Nux vom, Ornithogalum, Phytolacca, Pituitarum, Placenta, Sinapis arv flos, Quercus gland sp, Quercus rob",TH-101,HUMAN OTC DRUG,ORAL,openFDA:ndc
SODIUM CHLORIDE,BACTERIOSTATIC SODIUM CHLORIDE,HUMAN PRESCRIPTION DRUG,"INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS",openFDA:ndc
Meropenem,Meropenem,HUMAN PRESCRIPTION DRUG,INTRAVENOUS,openFDA:ndc
DEXMEDETOMIDINE HYDROCHLORIDE,Precedex,HUMAN PRESCRIPTION DRUG,INTRAVENOUS,openFDA:ndc
Urea,Urea Cream 40%,HUMAN PRESCRIPTION DRUG,TOPICAL,openFDA:ndc
Menthol,FREEZE IT Menthol Roll On,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
"ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, and PHENYLEPHRINE HYDROCHLORIDE",Cold Max,HUMAN OTC DRUG,ORAL,openFDA:ndc
Zinc Oxide,Evereden Cooling Mineral Sunstick SPF 30,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
SULFUR,EradiKate ACNE TREATMENT,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
Rivaroxaban,Rivaroxaban,HUMAN PRESCRIPTION DRUG,ORAL,openFDA:ndc
"dextromethorphan hydrobromide, guaifenesin",basic care mucus dm,HUMAN OTC DRUG,ORAL,openFDA:ndc
Danazol,Danazol,HUMAN PRESCRIPTION DRUG,ORAL,openFDA:ndc
"bacitracin zinc, neomycin sulfate, polymyxin b sulfate",Antibiotic,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
LOSARTAN POTASSIUM,LOSARTAN POTASSIUM 25 mg,HUMAN PRESCRIPTION DRUG,ORAL,openFDA:ndc
"Calcipotriene Cream, 0.005% and Transparent Dressing",Trionex,HUMAN PRESCRIPTION DRUG,,openFDA:ndc
"ACETAMINOPHEN, GUAIFENESIN, PHENYLEPHRINE HYDROCHLORIDE",Tylenol Sinus Severe,HUMAN OTC DRUG,ORAL,openFDA:ndc
deflazacort,PYQUVI,HUMAN PRESCRIPTION DRUG,ORAL,openFDA:ndc
"Acetaminophen, Pamabrom, Pyrilamine maleate",Thompson Cramp Relief,HUMAN OTC DRUG,ORAL,openFDA:ndc
Lidocaine,Lidocaine Roll-on,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
sodium chlorite,PURE O2 Pack-Solid,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
Zinc Oxide,All Good Mineral Sport Sunscreen Sunstick SPF 30,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
Calcium Chloride,Calcium Chloride,HUMAN PRESCRIPTION DRUG,INTRAVENOUS,openFDA:ndc
Alcohol antiseptic,Mistify Hand Sanitizer Cotton Candy and Gummy Bear,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
ZINC OXIDE,Well People Bio Tint SPF 30 Sunscreen 6w,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
SEPIA,SEPIA 200ck,HUMAN OTC DRUG,SUBLINGUAL,openFDA:ndc
White Petrolatum,Cars Petroleum,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
Ethyl Alcohol,meijer LAKESHORE FRESH SCENTED Hand Sanitizer,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
Benzalkonium chloride,Pet wipes,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
Benzethonium chloride and Dyclonine hydrochloride,Liquid Bandage,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
Aluminum and Magnesium Hydroxide Suspension,Kesin MAG-AL,HUMAN OTC DRUG,ORAL,openFDA:ndc
Nicotine Polacrilex,UP AND UP COATED CINNAMON NICOTINE,HUMAN OTC DRUG,ORAL,openFDA:ndc
"TITANIUM DIOXIDE, ZINC OXIDE",buttah Tinted Mineral Sunscreen SPF-30,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
ZINC OXIDE,TIGER BABY Baby Sunscreen SPF-50,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
Nitric Oxide,Ulspira,HUMAN PRESCRIPTION DRUG,RESPIRATORY (INHALATION),openFDA:ndc
Oxymetazoline hydrochloride.,AXIV Sinus OVERNIGHT,HUMAN OTC DRUG,NASAL,openFDA:ndc
Allantoin,Earthmed FS Hand and foot,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
"Apis MelD3, BaptisiaD4, Conium MacD8, EchinaceaD2, EupatoriumD4, SiliceaD6, Thuja OccD8",Bestmade Natural Products BM5,HUMAN OTC DRUG,ORAL,openFDA:ndc
"Acidum Salicylicum, Belladonna, Coffea Cruda, Gelsemium, Iris Vers, Melilotus Off, Spigelia, Usnea Barb",BM BM11 DROPS,HUMAN OTC DRUG,ORAL,openFDA:ndc
"Ferr Phos, Mag Phos, Kali Sulph, Nat Sulph",Bestmade Natural Products BIO19 Lactose Free,HUMAN OTC DRUG,ORAL,openFDA:ndc
"Glycerin, Sorbitol, Aloe Barbadensis Leaf Juice",Anubis Barcelona,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
Allantoin,Dermachange Scar,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
"Acetaminophen 325 mg, Diphenhydramine HCl 12.5 mg, Phenylephrine HCl 5 mg",Allergy plus Sinus Headache,HUMAN OTC DRUG,ORAL,openFDA:ndc
"Epinephrine, Albuterol Sulfate, Nitroglycerin, Diphenhydramine Hydrochloride, Aspirin",Basic Dental Emergency Kit,HUMAN PRESCRIPTION DRUG,,openFDA:ndc
Amikacin Sulfate,Amikacin Sulfate,HUMAN PRESCRIPTION DRUG,"INTRAMUSCULAR, INTRAVENOUS",openFDA:ndc
Medicated Callus Removers,Salicylic Acid,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
olmesartan medoxomil-hydrochlorothiazide,Benicar HCT,HUMAN PRESCRIPTION DRUG,ORAL,openFDA:ndc
Sodium Fluoride 0.24%,Dentalclean Regenerator Sensitive Dental Gel with Flouride,HUMAN OTC DRUG,DENTAL,openFDA:ndc
Aluminum Zirconium Tetrachlorohydrex Gly,Secret Clinical Invisible Solid Wickedly Wonderful,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
Stannous fluoride,Crest Clean Breath Peppermint,HUMAN OTC DRUG,DENTAL,openFDA:ndc
Pain Relief Evening Therapy Spray,Tidl Pain Relief Evening Therapy Spray.,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
Calcium Carbonate,R Cos,HUMAN OTC DRUG,ORAL,openFDA:ndc
Zinc Oxide,Round Lab Birch Juice Moisturizing UVLOCK Sun Cushion,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
Isopropyl Alcohol,WISH RUBBING ALCOHOL 50%,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
VAGINAL PROBIOTICS,DRMITSUI VAGINAL PROBIOTICS,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
Ethyl Alcohol,Surface Hand Sanitizer Surprise,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
salicylic acid 1% FACIAL BUMP REFINING ESSENCE,Beilloso FACIAL BUMP REFINING ESSENCE,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
AMPHETAMINE ASPARTATE,,BULK INGREDIENT,,openFDA:ndc
Lidocaine,Pain Relieving Patch,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
Benzalkonium Chloride,Aquarrelle Antibacterial Wipes 20,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
Polymyxin B Sulfate and Trimethoprim Sulfate,Polymyxin B Sulfate and Trimethoprim,HUMAN PRESCRIPTION DRUG,OPHTHALMIC,openFDA:ndc
Kalium Phosphoricum Icing Sugar,BM Kali Phos Icing Sugar,HUMAN OTC DRUG,ORAL,openFDA:ndc
LIDOCAINE HYDROCHLORIDE,5Kind Maximum Strength Pain Relieving Lidocaine HCl Hemp,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
Undecylenic Acid 25%,Jorvinl Nail Fungus Treatment,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
ANHONGYU HYDRADOUBLE SUNSCREEN,ANHONGYU HYDRADOUBLE SUNSCREEN,HUMAN OTC DRUG,"CUTANEOUS, TOPICAL",openFDA:ndc
Platelet Additive 3,InterSol,HUMAN PRESCRIPTION DRUG,INTRAVENOUS,openFDA:ndc
FLUOCINOLONE ACETONIDE,,BULK INGREDIENT,,openFDA:ndc
Pramipexole DiHydrochloride,,BULK INGREDIENT,,openFDA:ndc
"ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE AND PHENYLEPHRINE HYDROCHLORIDE",,HUMAN OTC DRUG,,openFDA:ndc
alpelisib,,HUMAN PRESCRIPTION DRUG,,openFDA:ndc
Mevastatin,,BULK INGREDIENT,,openFDA:ndc
Isoprpoyl Alcohol,Wipesplus Hand Sanitizing Wipes,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
Sodium Hyaluronate,,BULK INGREDIENT,,openFDA:ndc
BENZYL BENZOATE,,BULK INGREDIENT,,openFDA:ndc
"OCTINOXATE, OXYBENZONE, PETROLATUM",Carmex Classic Lip Balm Medicated SPF 15,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
"OCTINOXATE, OXYBENZONE, PETROLATUM",Carmex 10 Count Variety Pack SPF 15 Sunscreen,HUMAN OTC DRUG,,openFDA:ndc
"OCTINOXATE, OXYBENZONE, HOMOSALATE, OCTOCRYLENE, OCTISALATE, AVOBENZONE",Carmex Variety Pack Daily Care Moisturizing Lip Balm SPF 15,HUMAN OTC DRUG,,openFDA:ndc
Dasatinib Monohydrate,,BULK INGREDIENT,,openFDA:ndc
Robenacoxib,,BULK INGREDIENT,,openFDA:ndc
PAPAVERINE HYDROCHLORIDE,,BULK INGREDIENT,,openFDA:ndc
Hydroxocobalamin VITAMIN B12a,,BULK INGREDIENT,,openFDA:ndc
Plazomicin sulfate,,BULK INGREDIENT,,openFDA:ndc
Eslicarbazepine Acetate,,BULK INGREDIENT,,openFDA:ndc
Paclitaxel,,BULK INGREDIENT,,openFDA:ndc
Clindamycin Phosphate,,BULK INGREDIENT,,openFDA:ndc
ritlecitinib,,DRUG FOR FURTHER PROCESSING,,openFDA:ndc
Micafungin sodium,,BULK INGREDIENT,,openFDA:ndc
Flavoxate Hydrochloride,,BULK INGREDIENT,,openFDA:ndc
PIROXICAM,,BULK INGREDIENT,,openFDA:ndc
Phenoxybenzamine Hydrochloride,,BULK INGREDIENT,,openFDA:ndc
Molnupiravir,,BULK INGREDIENT,,openFDA:ndc
Benzphetamine Hydrochloride,,BULK INGREDIENT,,openFDA:ndc
Dextromethorphan,,BULK INGREDIENT,,openFDA:ndc
Docetaxel Anhydrous,,BULK INGREDIENT,,openFDA:ndc
RHUS AROMATICA ROOT BARK,,DRUG FOR FURTHER PROCESSING,,openFDA:ndc
Cortisone Acetate,,BULK INGREDIENT,,openFDA:ndc
OXYTETRACYCLINE,,BULK INGREDIENT,,openFDA:ndc
NICARDIPINE HYDROCHLORIDE,,BULK INGREDIENT,,openFDA:ndc
Voxelotor,,DRUG FOR FURTHER PROCESSING,,openFDA:ndc
Sulfur,Naturasil Sulfur-Lavender,HUMAN OTC DRUG,TOPICAL,openFDA:ndc
